company_id,company_name,country,industry,monthly_budget,status
1,TechStart Ltd,Bulgaria,Technology,10000,Active
2,GreenEnergy EOOD,Romania,Energy,25000,Active
3,FastFood Corp,Germany,Food & Beverage,15000,Active
4,MediCare GmbH,Austria,Healthcare,30000,Active
5,RetailPro Ltd,Bulgaria,Retail,8000,Active
6,LogiTrans EOOD,Romania,Logistics,20000,Active
7,CloudSoft AG,Germany,Technology,50000,Active
8,BuildCo Ltd,Bulgaria,Construction,12000,Inactive
9,TravelEasy GmbH,Austria,Travel,18000,Active
10,FoodDelivery Ltd,Bulgaria,Food & Beverage,9000,Active
